num_pools,num_channels,pool_type,pool_stride,skip_connections,avg_radius,sigma_back,epochs,IoU,path
1,16,max,2,1,20,5.0,100,0.977300947546959,results/rad20_sig5.0_ch16_pools1_max_stride2_skip1_100E
2,16,max,2,1-1,20,5.0,100,0.9772994225025178,results/rad20_sig5.0_ch16_pools2_max_stride2_skip1-1_100E
3,16,max,2,1-1-1,20,5.0,100,0.9734443870782852,results/rad20_sig5.0_ch16_pools3_max_stride2_skip1-1-1_100E
4,16,max,2,1-1-1-1,20,5.0,100,0.9777422544956208,results/rad20_sig5.0_ch16_pools4_max_stride2_skip1-1-1-1_100E
5,16,max,2,1-1-1-1-1,20,5.0,100,0.9819091769456862,results/rad20_sig5.0_ch16_pools5_max_stride2_skip1-1-1-1-1_100E
1,32,max,2,1,20,5.0,100,0.983549595952034,results/rad20_sig5.0_ch32_pools1_max_stride2_skip1_100E
2,32,max,2,1-1,20,5.0,100,0.987353308558464,results/rad20_sig5.0_ch32_pools2_max_stride2_skip1-1_100E
3,32,max,2,1-1-1,20,5.0,100,0.98823872756958,results/rad20_sig5.0_ch32_pools3_max_stride2_skip1-1-1_100E
4,32,max,2,1-1-1-1,20,5.0,100,0.983820586323738,results/rad20_sig5.0_ch32_pools4_max_stride2_skip1-1-1-1_100E
5,32,max,2,1-1-1-1-1,20,5.0,100,0.9839300229549408,results/rad20_sig5.0_ch32_pools5_max_stride2_skip1-1-1-1-1_100E
1,2,max,2,1,20,7.5,100,0.9532331203222276,results/rad20_sig7.5_ch2_pools1_max_stride2_skip1_100E
2,2,max,2,1-1,20,7.5,100,0.9663674094676972,results/rad20_sig7.5_ch2_pools2_max_stride2_skip1-1_100E
3,2,max,2,1-1-1,20,7.5,100,0.9499769109487536,results/rad20_sig7.5_ch2_pools3_max_stride2_skip1-1-1_100E
4,2,max,2,1-1-1-1,20,7.5,100,0.6394198186397553,results/rad20_sig7.5_ch2_pools4_max_stride2_skip1-1-1-1_100E
5,2,max,2,1-1-1-1-1,20,7.5,100,0.6349483450651169,results/rad20_sig7.5_ch2_pools5_max_stride2_skip1-1-1-1-1_100E
1,4,max,2,1,20,7.5,100,0.9661265627145768,results/rad20_sig7.5_ch4_pools1_max_stride2_skip1_100E
2,4,max,2,1-1,20,7.5,100,0.970621433019638,results/rad20_sig7.5_ch4_pools2_max_stride2_skip1-1_100E
3,4,max,2,1-1-1,20,7.5,100,0.9716165591478348,results/rad20_sig7.5_ch4_pools3_max_stride2_skip1-1-1_100E
4,4,max,2,1-1-1-1,20,7.5,100,0.977181457400322,results/rad20_sig7.5_ch4_pools4_max_stride2_skip1-1-1-1_100E
5,4,max,2,1-1-1-1-1,20,7.5,100,0.9623200635910034,results/rad20_sig7.5_ch4_pools5_max_stride2_skip1-1-1-1-1_100E
1,8,max,2,1,20,7.5,100,0.964871681690216,results/rad20_sig7.5_ch8_pools1_max_stride2_skip1_100E
2,8,max,2,1-1,20,7.5,100,0.9703424377441408,results/rad20_sig7.5_ch8_pools2_max_stride2_skip1-1_100E
3,8,max,2,1-1-1,20,7.5,100,0.976755202293396,results/rad20_sig7.5_ch8_pools3_max_stride2_skip1-1-1_100E
4,8,max,2,1-1-1-1,20,7.5,100,0.9740163160562516,results/rad20_sig7.5_ch8_pools4_max_stride2_skip1-1-1-1_100E
5,8,max,2,1-1-1-1-1,20,7.5,100,0.9682429784536362,results/rad20_sig7.5_ch8_pools5_max_stride2_skip1-1-1-1-1_100E
1,16,max,2,1,20,7.5,100,0.9779359538555146,results/rad20_sig7.5_ch16_pools1_max_stride2_skip1_100E
2,16,max,2,1-1,20,7.5,100,0.9802694864273072,results/rad20_sig7.5_ch16_pools2_max_stride2_skip1-1_100E
3,16,max,2,1-1-1,20,7.5,100,0.9851269489526748,results/rad20_sig7.5_ch16_pools3_max_stride2_skip1-1-1_100E
4,16,max,2,1-1-1-1,20,7.5,100,0.9766703013181688,results/rad20_sig7.5_ch16_pools4_max_stride2_skip1-1-1-1_100E
5,16,max,2,1-1-1-1-1,20,7.5,100,0.9814858865737914,results/rad20_sig7.5_ch16_pools5_max_stride2_skip1-1-1-1-1_100E
1,32,max,2,1,20,7.5,100,0.9837080428600312,results/rad20_sig7.5_ch32_pools1_max_stride2_skip1_100E
2,32,max,2,1-1,20,7.5,100,0.9847048939466476,results/rad20_sig7.5_ch32_pools2_max_stride2_skip1-1_100E
3,32,max,2,1-1-1,20,7.5,100,0.9839130518436432,results/rad20_sig7.5_ch32_pools3_max_stride2_skip1-1-1_100E
4,32,max,2,1-1-1-1,20,7.5,100,0.9835805532932282,results/rad20_sig7.5_ch32_pools4_max_stride2_skip1-1-1-1_100E
5,32,max,2,1-1-1-1-1,20,7.5,100,0.9872659878730774,results/rad20_sig7.5_ch32_pools5_max_stride2_skip1-1-1-1-1_100E
1,2,max,2,1,20,10.0,100,0.9524505412578584,results/rad20_sig10.0_ch2_pools1_max_stride2_skip1_100E
2,2,max,2,1-1,20,10.0,100,0.9504534205198288,results/rad20_sig10.0_ch2_pools2_max_stride2_skip1-1_100E
3,2,max,2,1-1-1,20,10.0,100,0.9645340625047684,results/rad20_sig10.0_ch2_pools3_max_stride2_skip1-1-1_100E
4,2,max,2,1-1-1-1,20,10.0,100,0.95836468398571,results/rad20_sig10.0_ch2_pools4_max_stride2_skip1-1-1-1_100E
5,2,max,2,1-1-1-1-1,20,10.0,100,0.9309708678722382,results/rad20_sig10.0_ch2_pools5_max_stride2_skip1-1-1-1-1_100E
1,4,max,2,1,20,10.0,100,0.96510267329216,results/rad20_sig10.0_ch4_pools1_max_stride2_skip1_100E
2,4,max,2,1-1,20,10.0,100,0.97051213991642,results/rad20_sig10.0_ch4_pools2_max_stride2_skip1-1_100E
3,4,max,2,1-1-1,20,10.0,100,0.9655771273374558,results/rad20_sig10.0_ch4_pools3_max_stride2_skip1-1-1_100E
4,4,max,2,1-1-1-1,20,10.0,100,0.9790205103158952,results/rad20_sig10.0_ch4_pools4_max_stride2_skip1-1-1-1_100E
5,4,max,2,1-1-1-1-1,20,10.0,100,0.9642045370340347,results/rad20_sig10.0_ch4_pools5_max_stride2_skip1-1-1-1-1_100E
1,8,max,2,1,20,10.0,100,0.9655490906238556,results/rad20_sig10.0_ch8_pools1_max_stride2_skip1_100E
2,8,max,2,1-1,20,10.0,100,0.9761756162643432,results/rad20_sig10.0_ch8_pools2_max_stride2_skip1-1_100E
3,8,max,2,1-1-1,20,10.0,100,0.9764594551324844,results/rad20_sig10.0_ch8_pools3_max_stride2_skip1-1-1_100E
4,8,max,2,1-1-1-1,20,10.0,100,0.9744350510835648,results/rad20_sig10.0_ch8_pools4_max_stride2_skip1-1-1-1_100E
5,8,max,2,1-1-1-1-1,20,10.0,100,0.96959961271286,results/rad20_sig10.0_ch8_pools5_max_stride2_skip1-1-1-1-1_100E
1,16,max,2,1,20,10.0,100,0.9785566185712814,results/rad20_sig10.0_ch16_pools1_max_stride2_skip1_100E
2,16,max,2,1-1,20,10.0,100,0.9811121346950532,results/rad20_sig10.0_ch16_pools2_max_stride2_skip1-1_100E
3,16,max,2,1-1-1,20,10.0,100,0.982387461423874,results/rad20_sig10.0_ch16_pools3_max_stride2_skip1-1-1_100E
4,16,max,2,1-1-1-1,20,10.0,100,0.9809271169900894,results/rad20_sig10.0_ch16_pools4_max_stride2_skip1-1-1-1_100E
5,16,max,2,1-1-1-1-1,20,10.0,100,0.9811029888391496,results/rad20_sig10.0_ch16_pools5_max_stride2_skip1-1-1-1-1_100E
1,32,max,2,1,20,10.0,100,0.9855399435758592,results/rad20_sig10.0_ch32_pools1_max_stride2_skip1_100E
2,32,max,2,1-1,20,10.0,100,0.9883678463697434,results/rad20_sig10.0_ch32_pools2_max_stride2_skip1-1_100E
3,32,max,2,1-1-1,20,10.0,100,0.9836582573652268,results/rad20_sig10.0_ch32_pools3_max_stride2_skip1-1-1_100E
4,32,max,2,1-1-1-1,20,10.0,100,0.9856803512573242,results/rad20_sig10.0_ch32_pools4_max_stride2_skip1-1-1-1_100E
5,32,max,2,1-1-1-1-1,20,10.0,100,0.9864400955438614,results/rad20_sig10.0_ch32_pools5_max_stride2_skip1-1-1-1-1_100E
1,2,max,2,1,30,2.5,100,0.9715390412807464,results/rad30_sig2.5_ch2_pools1_max_stride2_skip1_100E
2,2,max,2,1-1,30,2.5,100,0.9712367414236068,results/rad30_sig2.5_ch2_pools2_max_stride2_skip1-1_100E
3,2,max,2,1-1-1,30,2.5,100,0.9711126590967178,results/rad30_sig2.5_ch2_pools3_max_stride2_skip1-1-1_100E
4,2,max,2,1-1-1-1,30,2.5,100,0.9728949004411698,results/rad30_sig2.5_ch2_pools4_max_stride2_skip1-1-1-1_100E
5,2,max,2,1-1-1-1-1,30,2.5,100,0.9596552774906156,results/rad30_sig2.5_ch2_pools5_max_stride2_skip1-1-1-1-1_100E
1,4,max,2,1,30,2.5,100,0.9690830757617952,results/rad30_sig2.5_ch4_pools1_max_stride2_skip1_100E
2,4,max,2,1-1,30,2.5,100,0.9769035581350328,results/rad30_sig2.5_ch4_pools2_max_stride2_skip1-1_100E
3,4,max,2,1-1-1,30,2.5,100,0.9749848639965056,results/rad30_sig2.5_ch4_pools3_max_stride2_skip1-1-1_100E
4,4,max,2,1-1-1-1,30,2.5,100,0.9791961607933044,results/rad30_sig2.5_ch4_pools4_max_stride2_skip1-1-1-1_100E
5,4,max,2,1-1-1-1-1,30,2.5,100,0.9731611984968184,results/rad30_sig2.5_ch4_pools5_max_stride2_skip1-1-1-1-1_100E
1,8,max,2,1,30,2.5,100,0.9746106182336808,results/rad30_sig2.5_ch8_pools1_max_stride2_skip1_100E
2,8,max,2,1-1,30,2.5,100,0.9766365453004836,results/rad30_sig2.5_ch8_pools2_max_stride2_skip1-1_100E
3,8,max,2,1-1-1,30,2.5,100,0.9839309800863264,results/rad30_sig2.5_ch8_pools3_max_stride2_skip1-1-1_100E
4,8,max,2,1-1-1-1,30,2.5,100,0.981913499712944,results/rad30_sig2.5_ch8_pools4_max_stride2_skip1-1-1-1_100E
5,8,max,2,1-1-1-1-1,30,2.5,100,0.9801274206638336,results/rad30_sig2.5_ch8_pools5_max_stride2_skip1-1-1-1-1_100E
1,16,max,2,1,30,2.5,100,0.9819771147966384,results/rad30_sig2.5_ch16_pools1_max_stride2_skip1_100E
2,16,max,2,1-1,30,2.5,100,0.9846008766889572,results/rad30_sig2.5_ch16_pools2_max_stride2_skip1-1_100E
3,16,max,2,1-1-1,30,2.5,100,0.9879974179267884,results/rad30_sig2.5_ch16_pools3_max_stride2_skip1-1-1_100E
4,16,max,2,1-1-1-1,30,2.5,100,0.9821964658498764,results/rad30_sig2.5_ch16_pools4_max_stride2_skip1-1-1-1_100E
5,16,max,2,1-1-1-1-1,30,2.5,100,0.983824674487114,results/rad30_sig2.5_ch16_pools5_max_stride2_skip1-1-1-1-1_100E
1,32,max,2,1,30,2.5,100,0.9877850095033646,results/rad30_sig2.5_ch32_pools1_max_stride2_skip1_100E
2,32,max,2,1-1,30,2.5,100,0.9869199981689454,results/rad30_sig2.5_ch32_pools2_max_stride2_skip1-1_100E
3,32,max,2,1-1-1,30,2.5,100,0.9885630484819412,results/rad30_sig2.5_ch32_pools3_max_stride2_skip1-1-1_100E
4,32,max,2,1-1-1-1,30,2.5,100,0.988474460363388,results/rad30_sig2.5_ch32_pools4_max_stride2_skip1-1-1-1_100E
5,32,max,2,1-1-1-1-1,30,2.5,100,0.987231572151184,results/rad30_sig2.5_ch32_pools5_max_stride2_skip1-1-1-1-1_100E
1,2,max,2,1,30,5.0,100,0.9618342109918594,results/rad30_sig5.0_ch2_pools1_max_stride2_skip1_100E
2,2,max,2,1-1,30,5.0,100,0.964861707687378,results/rad30_sig5.0_ch2_pools2_max_stride2_skip1-1_100E
3,2,max,2,1-1-1,30,5.0,100,0.9770961179733276,results/rad30_sig5.0_ch2_pools3_max_stride2_skip1-1-1_100E
4,2,max,2,1-1-1-1,30,5.0,100,0.9736939897537232,results/rad30_sig5.0_ch2_pools4_max_stride2_skip1-1-1-1_100E
5,2,max,2,1-1-1-1-1,30,5.0,100,0.3622108840942383,results/rad30_sig5.0_ch2_pools5_max_stride2_skip1-1-1-1-1_100E
1,4,max,2,1,30,5.0,100,0.9666817795038224,results/rad30_sig5.0_ch4_pools1_max_stride2_skip1_100E
2,4,max,2,1-1,30,5.0,100,0.9743268350362776,results/rad30_sig5.0_ch4_pools2_max_stride2_skip1-1_100E
3,4,max,2,1-1-1,30,5.0,100,0.978524672985077,results/rad30_sig5.0_ch4_pools3_max_stride2_skip1-1-1_100E
4,4,max,2,1-1-1-1,30,5.0,100,0.980075598359108,results/rad30_sig5.0_ch4_pools4_max_stride2_skip1-1-1-1_100E
5,4,max,2,1-1-1-1-1,30,5.0,100,0.9697466884851456,results/rad30_sig5.0_ch4_pools5_max_stride2_skip1-1-1-1-1_100E
1,8,max,2,1,30,5.0,100,0.9793629043102264,results/rad30_sig5.0_ch8_pools1_max_stride2_skip1_100E
2,8,max,2,1-1,30,5.0,100,0.9838589599132538,results/rad30_sig5.0_ch8_pools2_max_stride2_skip1-1_100E
3,8,max,2,1-1-1,30,5.0,100,0.983718188881874,results/rad30_sig5.0_ch8_pools3_max_stride2_skip1-1-1_100E
4,8,max,2,1-1-1-1,30,5.0,100,0.9842459032535552,results/rad30_sig5.0_ch8_pools4_max_stride2_skip1-1-1-1_100E
5,8,max,2,1-1-1-1-1,30,5.0,100,0.9813177666664123,results/rad30_sig5.0_ch8_pools5_max_stride2_skip1-1-1-1-1_100E
1,16,max,2,1,30,5.0,100,0.9846328589916228,results/rad30_sig5.0_ch16_pools1_max_stride2_skip1_100E
2,16,max,2,1-1,30,5.0,100,0.9887010275125504,results/rad30_sig5.0_ch16_pools2_max_stride2_skip1-1_100E
3,16,max,2,1-1-1,30,5.0,100,0.9821063747406006,results/rad30_sig5.0_ch16_pools3_max_stride2_skip1-1-1_100E
4,16,max,2,1-1-1-1,30,5.0,100,0.9871866233348848,results/rad30_sig5.0_ch16_pools4_max_stride2_skip1-1-1-1_100E
5,16,max,2,1-1-1-1-1,30,5.0,100,0.9873710330724716,results/rad30_sig5.0_ch16_pools5_max_stride2_skip1-1-1-1-1_100E
1,32,max,2,1,30,5.0,100,0.9874040578603744,results/rad30_sig5.0_ch32_pools1_max_stride2_skip1_100E
2,32,max,2,1-1,30,5.0,100,0.9918238549232484,results/rad30_sig5.0_ch32_pools2_max_stride2_skip1-1_100E
3,32,max,2,1-1-1,30,5.0,100,0.9855714331865312,results/rad30_sig5.0_ch32_pools3_max_stride2_skip1-1-1_100E
4,32,max,2,1-1-1-1,30,5.0,100,0.9888691713809968,results/rad30_sig5.0_ch32_pools4_max_stride2_skip1-1-1-1_100E
5,32,max,2,1-1-1-1-1,30,5.0,100,0.9819408748149872,results/rad30_sig5.0_ch32_pools5_max_stride2_skip1-1-1-1-1_100E
1,2,max,2,1,30,7.5,100,0.9750440493822098,results/rad30_sig7.5_ch2_pools1_max_stride2_skip1_100E
2,2,max,2,1-1,30,7.5,100,0.97598228430748,results/rad30_sig7.5_ch2_pools2_max_stride2_skip1-1_100E
